Size,Built In ,Bubble,Merge
7100,0.0023043,0.441073,0.0158224
7100,0.001956,0.438885,0.0157974
7200,0.0022855,0.450306,0.0161292
7200,0.0021996,0.448869,0.0160452
7200,0.0020253,0.456663,0.0166056
7300,0.0024312,0.465024,0.0173343
7300,0.002146,0.466383,0.0160507
7300,0.0023418,0.466314,0.0161128
7400,0.0020984,0.477975,0.0162837
7400,0.0020406,0.477445,0.0164131
7400,0.0023685,0.476549,0.0168978
7500,0.0023299,0.488599,0.0170052
7500,0.0023302,0.490348,0.016948
7500,0.0023923,0.490929,0.0166357
7600,0.0023934,0.505804,0.017056
7600,0.0024673,0.538775,0.0168098
7600,0.0023899,0.506982,0.0177673
7700,0.0024558,0.517894,0.0172595
7700,0.0024058,0.516316,0.0167418
7700,0.0025353,0.517654,0.0177587
7800,0.0025641,0.529079,0.0173121
7800,0.0024542,0.528041,0.0169882
7800,0.002369,0.53076,0.0175246
7900,0.0021751,0.545205,0.0178542
7900,0.0024631,0.54205,0.0174832
7900,0.0021901,0.541166,0.0175669
8000,0.0024978,0.558996,0.017574
8000,0.0025545,0.557102,0.018663
8000,0.002275,0.557477,0.0181859
8100,0.003039,0.571732,0.0186357
8100,0.0025813,0.572536,0.0181746
8100,0.0022919,0.571492,0.0186739
8200,0.0030235,0.586528,0.0179282
8200,0.0026766,0.583011,0.0181867
8200,0.0030874,0.584815,0.0191483
8300,0.0026369,0.599999,0.0189996
8300,0.0025975,0.603452,0.0184959
8300,0.002616,0.599202,0.0189349
8400,0.0034281,0.617548,0.0190254
8400,0.0024905,0.622731,0.0196
8400,0.0025554,0.610888,0.0192716
8500,0.0026881,0.629713,0.0192803
8500,0.0024122,0.627307,0.018725
8500,0.0023549,0.630222,0.0191545
8600,0.00322,0.644796,0.0193694
8600,0.0024271,0.645864,0.0195708
8600,0.0029733,0.640499,0.0189818
8700,0.0030915,0.662371,0.0198237
8700,0.0024584,0.657669,0.0200642
8700,0.0031948,0.661989,0.0200437
8800,0.0024672,0.675707,0.0202571
8800,0.0028302,0.672205,0.0195812
8800,0.003353,0.672011,0.0206699
8900,0.0029226,0.683978,0.019602
8900,0.0025676,0.702794,0.0198078
8900,0.0025186,0.687366,0.0197934
9000,0.002764,0.706946,0.0208627
9000,0.0025358,0.74056,0.0205134
9000,0.0028438,0.699312,0.0213655
9100,0.0034105,0.7225,0.0204684
9100,0.0028173,0.720118,0.021262
9100,0.0033684,0.717138,0.02178
9200,0.0032888,0.739766,0.0213687
9200,0.0026318,0.734247,0.0204836
9200,0.0026217,0.736293,0.0211679
9300,0.002919,0.757689,0.0208271
9300,0.0027479,0.752865,0.0204796
9300,0.0032776,0.75101,0.0204724
9400,0.0034129,0.765711,0.0209789
9400,0.0028574,0.772945,0.0208591
9400,0.0026784,0.768944,0.0210822
9500,0.003369,0.790933,0.0212046
9500,0.002694,0.784229,0.0210783
9500,0.0034143,0.787625,0.0213004
9600,0.0033556,0.833193,0.0215922
9600,0.0030891,0.800465,0.0221152
9600,0.0034081,0.801305,0.022144
9700,0.0035109,0.817146,0.022082
9700,0.0027834,0.816751,0.0217933
9700,0.0028139,0.815675,0.0218315
9800,0.0036266,0.829023,0.0220247
9800,0.0034044,0.836195,0.0225051
9900,0.0038003,0.852316,0.022356
9900,0.0034614,0.849016,0.0233313
10000,0.0036588,0.869189,0.0236175
10000,0.0028537,0.868446,0.0221588
